feature,importance
jobType_JANITOR,0.21828490267929757
yearsExperience,0.18671900135149022
milesFromMetropolis,0.1297715680338114
major_NONE,0.08562541642549922
jobType_JUNIOR,0.07476353234833576
jobType_CEO,0.048493715874803466
jobType_SENIOR,0.04021900924196095
industry_FINANCE,0.028979030515395784
industry_EDUCATION,0.028568660279786627
industry_OIL,0.02523387660216567
jobType_CFO,0.023344968783589614
jobType_CTO,0.02059375976191309
industry_SERVICE,0.01582836550060024
degree_DOCTORAL,0.014033476048638565
industry_WEB,0.009881507850357943
jobType_MANAGER,0.009699783900404647
degree_NONE,0.006496519515698098
major_ENGINEERING,0.00583906673050954
industry_AUTO,0.005362875473309755
degree_MASTERS,0.004338331303942838
major_BUSINESS,0.0042475754820738365
jobType_VICE_PRESIDENT,0.004209030684767665
industry_HEALTH,0.0026497491759440903
major_LITERATURE,0.0023010255373699033
major_MATH,0.0013213383266437039
degree_HIGH_SCHOOL,0.0009571369779601352
major_BIOLOGY,0.0006751410426666459
major_CHEMISTRY,0.0006698854436009488
major_PHYSICS,0.00032866402109652177
degree_BACHELORS,0.00028502383611206606
major_COMPSCI,7.292759024189407e-05
companyId_COMP36,8.977280394207563e-06
companyId_COMP13,8.286427354035626e-06
companyId_COMP46,7.843429659261509e-06
companyId_COMP9,7.501134878169273e-06
companyId_COMP24,6.001546903600011e-06
companyId_COMP34,5.954550601372616e-06
companyId_COMP56,5.7714107654897895e-06
companyId_COMP30,5.568066503334898e-06
companyId_COMP62,5.3877955334442985e-06
companyId_COMP21,5.295029977081034e-06
companyId_COMP26,5.050009762955688e-06
companyId_COMP61,4.96677913015467e-06
companyId_COMP60,4.892852678725479e-06
companyId_COMP42,4.858598042844609e-06
companyId_COMP48,4.79407164664381e-06
companyId_COMP38,4.679292100957787e-06
companyId_COMP44,4.670910466622229e-06
companyId_COMP15,4.329418324641303e-06
companyId_COMP20,4.3268071348565515e-06
companyId_COMP17,4.144081974421293e-06
companyId_COMP53,4.067539531991754e-06
companyId_COMP1,4.024982091322509e-06
companyId_COMP12,3.828480168602691e-06
companyId_COMP47,3.5938868151752305e-06
companyId_COMP57,3.5864052333925726e-06
companyId_COMP10,3.4808957828920605e-06
companyId_COMP11,3.2993357289591444e-06
companyId_COMP55,3.215199960679352e-06
companyId_COMP31,3.194768128607908e-06
companyId_COMP28,3.1940106736048445e-06
companyId_COMP4,3.141542741043242e-06
companyId_COMP2,3.0932362568336105e-06
companyId_COMP18,2.9809125283777e-06
companyId_COMP6,2.74995086887841e-06
companyId_COMP59,2.704059273469279e-06
companyId_COMP52,2.664070581211318e-06
companyId_COMP58,2.6307018285796208e-06
companyId_COMP32,2.578612949893546e-06
companyId_COMP16,2.5407137705219153e-06
companyId_COMP22,2.3570084497232832e-06
companyId_COMP33,2.3118300557997167e-06
companyId_COMP39,2.1411113235096104e-06
companyId_COMP27,2.0144297867894936e-06
companyId_COMP23,2.0140882757862577e-06
companyId_COMP19,1.974068556956231e-06
companyId_COMP35,1.9005248500269748e-06
companyId_COMP49,1.7962437995239365e-06
companyId_COMP54,1.7617804415276936e-06
companyId_COMP14,1.7250389374273475e-06
companyId_COMP8,1.6336569170496607e-06
companyId_COMP41,1.271952111674097e-06
companyId_COMP43,1.1425891309300102e-06
companyId_COMP37,1.0468260645830396e-06
companyId_COMP29,1.0410534259414845e-06
companyId_COMP5,1.0401018861538293e-06
companyId_COMP45,1.0320739985673316e-06
companyId_COMP51,9.327549484906478e-07
companyId_COMP50,8.156325965141841e-07
companyId_COMP3,7.458053769310696e-07
companyId_COMP40,3.7340888673292585e-07
companyId_COMP7,1.9288144404366612e-07
companyId_COMP25,0.0
companyId_COMP0,0.0
